Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Tyyppi;Valmistusmaa;Vuosikerta;Alkoholi-%;Energia kcal/100 ml
932657;Joseph Perrier Cuvée Royale Rosé Champagne Brut;Joseph Perrier;0,75 l;49.9;66.53;kuohuviinit & samppanjat;Ranska;;12.0;70.0
554027;Joseph Perrier Cuvée Royale Vintage Champagne Brut 2008;Joseph Perrier;0,75 l;49.98;66.51;kuohuviinit & samppanjat;Ranska;2008.0;12.0;70.0
579017;Krug Champagne Brut 2004;Krug;0,75 l;284.9;379.87;kuohuviinit & samppanjat;Ranska;2004.0;12.0;70.0
581377;Krug Clos Du Mesnil Blanc de Blancs Champagne Brut 2004;Champagne Krug;0,75 l;974.89;1299.85;kuohuviinit & samppanjat;Ranska;2004.0;12.5;70.0
549847;Krug Clos d'Ambonnay Blanc de Noirs Champagne Brut 2000;Krug;0,75 l;3045.46;4060.61;kuohuviinit & samppanjat;Ranska;2000.0;12.5;70.0
507187;Krug Clos d'Ambonnay Blanc de Noirs Champagne Brut 2002;Krug;0,75 l;3065.45;4087.27;kuohuviinit & samppanjat;Ranska;2002.0;12.5;70.0
505977;Krug Collection Champagne Brut 1988;Krug;0,75 l;951.9;1269.2;kuohuviinit & samppanjat;Ranska;1988.0;12.5;70.0
533257;Krug Grande Cuvée 169ème Édition Champagne Brut;Krug;0,75 l;202.99;270.65;kuohuviinit & samppanjat;Ranska;;12.0;70.0
924594;Krug Grande Cuvée Champagne Brut;Krug;0,375 l;116.89;311.71;kuohuviinit & samppanjat;Ranska;;12.0;70.0
910537;La Chouette de Champillon Champagne Brut;Champagne Autréau de Champillon;0,75 l;32.95;43.8;kuohuviinit & samppanjat;Ranska;;12.0;70.0
922738;La Chouette de Champillon Champagne Brut;Champagne Autréau de Champillon;1,5 l;65.9;43.93;kuohuviinit & samppanjat;Ranska;;12.5;70.0
937114;La Chouette de Champillon Champagne Brut;Champagne Autréau de Champillon;0,375 l;19.89;52.77;kuohuviinit & samppanjat;Ranska;;12.5;70.0
950073;La Chouette de Champillon Champagne Brut Piccolo;Champagne Autréau de Champillon;0,2 l;12.5;62.5;kuohuviinit & samppanjat;Ranska;;12.5;80.0
940704;La Chouette de Champillon Grand Cru Réserve Champagne Brut;Champagne Autréau de Champillon;0,75 l;36.9;49.2;kuohuviinit & samppanjat;Ranska;;12.5;70.0
956457;La Chouette de Champillon Premier Cru Rosé Champagne Brut;Champagne Autréau de Champillon;0,75 l;36.5;48.53;kuohuviinit & samppanjat;Ranska;;12.5;70.0
